# AHS checks report

Generated by 03_checks.py.

## A. Pooled person file vs per-wave cleaned files

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| A | exact duplicate rows dropped before saving the pooled files (Matteo's rule; all files; informational) | 47,448 |  | n/a |
| A | 2017 person rows | 73,665 | 73,665 | PASS |
| A | 2017 sum wt | 9,682,214 | 9,682,214 | PASS |
| A | 2017 households | 16,057 | 16,057 | PASS |
| A | 2017 districts | 30 | 30 | PASS |
| A | 2020 person rows | 48,726 | 48,726 | PASS |
| A | 2020 sum wt | 10,486,251 | 10,486,251 | PASS |
| A | 2020 households | 10,666 | 10,666 | PASS |
| A | 2020 districts | 30 | 30 | PASS |
| A | 2024 person rows | 16,292 | 16,292 | PASS |
| A | 2024 sum wt | 9,561,842 | 9,561,842 | PASS |
| A | 2024 households | 3,724 | 3,724 | PASS |
| A | 2024 districts | 30 | 30 | PASS |

## B. Stata 17 recomputation from the written .dta files

| section | statistic | Python | Stata | result |
|---|---|---:|---:|---|
| B | 2017 person rows | 73,665 | 73,665 | PASS |
| B | 2017 sum wt | 9,682,214 | 9,682,214 | PASS |
| B | 2017 male | 34,951 | 34,951 | PASS |
| B | 2017 female | 38,714 | 38,714 | PASS |
| B | 2020 person rows | 48,726 | 48,726 | PASS |
| B | 2020 sum wt | 10,486,251 | 10,486,251 | PASS |
| B | 2020 male | 23,139 | 23,139 | PASS |
| B | 2020 female | 25,587 | 25,587 | PASS |
| B | 2024 person rows | 16,292 | 16,292 | PASS |
| B | 2024 sum wt | 9,561,842 | 9,561,842 | PASS |
| B | 2024 male | 7,794 | 7,794 | PASS |
| B | 2024 female | 8,498 | 8,498 | PASS |
| B | 2017 households | 16,057 | 16,057 | PASS |
| B | 2017 sum hhsize | 73,665 | 73,665 | PASS |
| B | 2017 sum household weight | 2,164,610 | 2,164,610 | PASS |
| B | 2020 households | 10,666 | 10,666 | PASS |
| B | 2020 sum hhsize | 48,726 | 48,726 | PASS |
| B | 2020 sum household weight | 2,321,662 | 2,321,662 | PASS |
| B | 2024 households | 3,724 | 3,724 | PASS |
| B | 2024 sum hhsize | 16,292 | 16,292 | PASS |
| B | 2024 sum household weight | 2,163,580 | 2,163,580 | PASS |

## C. Household / person consistency

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| C | 2017 households vs report table 2 (16,057) | 16,057 | 16,057 | PASS |
| C | 2017 sum hhsize == person rows | 73,665 | 73,665 | PASS |
| C | 2017 households == distinct hhid in person file | 16,057 | 16,057 | PASS |
| C | 2017 household rows unique | 16,057 | 16,057 | PASS |
| C | 2017 households with a head_sex | 16,057 | 16,057 | PASS |
| C | 2017 weight constant within household (person file) | 0 | 0 | PASS |
| C | 2020 sum hhsize == person rows | 48,726 | 48,726 | PASS |
| C | 2020 households == distinct hhid in person file | 10,666 | 10,666 | PASS |
| C | 2020 household rows unique | 10,666 | 10,666 | PASS |
| C | 2020 households with a head_sex | 10,666 | 10,666 | PASS |
| C | 2020 weight constant within household (person file) | 0 | 0 | PASS |
| C | 2024 sum hhsize == person rows | 16,292 | 16,292 | PASS |
| C | 2024 households == distinct hhid in person file | 3,724 | 3,724 | PASS |
| C | 2024 household rows unique | 3,724 | 3,724 | PASS |
| C | 2024 households with a head_sex | 3,724 | 3,724 | PASS |
| C | 2024 weight constant within household (person file) | 0 | 0 | PASS |
| C | 2017 weighted agricultural households (million x 100) vs published 2.1 (published to one decimal: +/- 0.1 million) | 216 | 210 | PASS |
| C | 2017 weighted persons (million x 100) vs published 9.7 (+/- 0.1 million) | 968 | 970 | PASS |
